Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Gears,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions,Fuel avg 
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,0,4,3,24.1,19.2,21.9,13,350,19.55
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,0,4,0,19.3,14.7,17.2,16,396,16.8
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,0,4,3,24.9,19.6,22.5,13,360,20
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,0,4,0,18.6,14.6,16.8,17,386,16.75
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,0,4,3,25.5,20,23,12,368,20.125
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,0,4,0,20.6,15.5,18.3,15,421,17.35
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,0,4,3,26.7,20.5,23.9,12,382,20.775
GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,0,4,0,17.1,12.7,15.1,19,347,15.975
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,0,4,0,18,13.4,15.9,18,366,16.325
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,0,4,3,23.5,17.7,20.9,14,334,19.025
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,0,4,0,18.3,14.2,16.5,17,380,16.5
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,0,4,3,23.7,18.8,21.5,13,344,19.25
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,0,4,0,18.6,13.9,16.5,17,380,16.5
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,0,4,3,23.9,18.5,21.5,13,344,19.225
GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,0,4,0,18.3,14.2,16.5,17,380,16.5
GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,0,4,3,25.3,19.3,22.6,12,362,19.8
GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,0,4,0,18.6,13.9,16.5,17,380,16.5
GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,0,4,3,23.9,18.5,21.5,13,344,19.225
GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,0,4,0,18.3,14.2,16.5,17,380,16.5
GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,0,4,3,25.3,19.3,22.6,12,362,19.8
MAZDA,MAZDA2,COMPACT,1.5,4,0,4,0,8.4,6.9,7.7,37,177,15
SCION,xD,SUBCOMPACT,1.8,4,0,4,0,8.8,7.1,8,35,184,14.725
TOYOTA,COROLLA,MID-SIZE,1.8,4,0,4,0,8.6,6.5,7.7,37,177,14.95
TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,0,4,0,9.4,7.5,8.5,33,196,14.6
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,0,4,0,12.2,9.3,10.9,26,251,14.6
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,0,4,0,13.1,10.5,11.9,24,274,14.875
TOYOTA,YARIS,COMPACT,1.5,4,0,4,0,7.9,6.6,7.3,39,168,15.2
DODGE,JOURNEY,SUV - SMALL,2.4,4,0,4,0,12.7,9.1,11.1,25,255,14.475
NISSAN,MICRA,COMPACT,1.6,4,0,4,0,8.8,6.6,7.8,36,179,14.8
TOYOTA,COROLLA,MID-SIZE,1.8,4,0,4,0,8.6,6.5,7.6,37,175,14.925
